Location,YearMonth,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
ACT,2007-01,11.55,22.35,11.3,2.9,3.25,35.5,6.0,20.0,75.0,59.5,1017.35,1014.55,7.5,7.5,15.7,19.950000000000003
ACT,2007-02,12.8,26.6,3.9000000000000004,3.0,10.85,40.0,5.0,13.0,73.0,41.0,1013.15,1008.95,3.5,2.5,17.1,25.45
ACT,2007-03,15.15,23.799999999999997,1.9000000000000001,6.199999999999999,4.0,67.5,9.5,20.5,77.0,64.5,1008.7,1005.9000000000001,7.5,7.0,17.95,20.049999999999997
ACT,2007-04,13.3,21.0,23.2,5.5,10.45,52.0,25.0,25.0,68.0,48.0,1006.4,1006.65,3.5,4.5,16.15,19.6
ACT,2007-05,11.05,18.950000000000003,1.4,7.0,10.2,46.5,15.5,29.0,68.5,56.0,1016.65,1016.9,7.0,4.0,14.850000000000001,17.95
ACT,2007-06,11.25,21.85,0.0,5.9,7.25,41.5,16.5,16.5,74.0,55.5,1021.3,1018.9000000000001,7.5,6.0,14.75,19.65
ACT,2007-07,11.649999999999999,22.0,0.1,4.2,8.600000000000001,42.0,12.5,16.0,66.5,60.5,1019.55,1016.85,5.0,6.5,16.95,19.950000000000003
ACT,2007-08,12.4,22.6,2.0,4.9,6.7,40.0,9.0,18.5,70.5,49.5,1020.5,1017.8,7.0,4.0,15.05,20.9
ACT,2007-09,11.9,24.45,0.0,5.3,7.6,45.5,14.0,20.5,74.0,36.0,1018.4499999999999,1015.6,7.0,7.0,17.35,23.75
ACT,2007-10,11.65,23.8,8.1,7.9,8.85,33.0,9.0,6.0,70.0,34.5,1017.9,1015.55,7.0,4.0,16.3,22.299999999999997
ACT,2007-11,13.075,27.110000000000003,1.48,6.16,7.709999999999999,38.35,7.0,14.6,68.8,40.65,1018.025,1014.6700000000001,4.0,4.6,18.240000000000002,25.74
ACT,2007-12,12.304761904761904,25.395238095238092,3.0,6.123809523809523,8.742857142857142,40.095238095238095,9.619047619047619,17.285714285714285,68.28571428571429,46.19047619047619,1016.3190476190476,1013.7333333333333,3.9047619047619047,4.761904761904762,17.34285714285714,23.66190476190476
ACT,2008-01,11.769354838709678,24.358064516129033,1.8193548387096776,6.767741935483872,8.187096774193549,43.145161290322584,11.333333333333334,18.774193548387096,66.53225806451613,43.064516129032256,1015.9403225806452,1013.5774193548388,4.290322580645161,4.645161290322581,16.388709677419357,22.85483870967742
